section_id,term,department,cross_list_group,course_description,section_number,title,credits,level,status,enrollment_limit,actual_enrollment,cross_list_enrollment,waitlist
71169,201770,ENGL,-,ENGH 302,S08,Advanced Comp (Social Sci),3,Undergraduate - Upper Division,CL,22,22,0,0
71170,201770,ENGL,-,ENGH 302,S09,Advanced Comp (Social Sci),3,Undergraduate - Upper Division,CL,22,22,0,0
71171,201770,ENGL,-,ENGH 302,S10,Advanced Comp (Social Sci),3,Undergraduate - Upper Division,CL,22,22,0,0
79357,201770,ENGL,-,ENGH 302,S11,Advanced Comp (Social Sci),3,Undergraduate - Upper Division,CL,22,22,0,0
71172,201770,ENGL,-,ENGH 302,S13,Advanced Comp (Social Sci),3,Undergraduate - Upper Division,CL,22,22,0,0
73587,201770,ENGL,0C,ENGH 302,S15,Advanced Comp (Social Sci),3,Undergraduate - Upper Division,WL,21,21,22,0
74637,201770,ENGL,-,ENGH 302,S16,Advanced Comp (Social Sci),3,Undergraduate - Upper Division,CL,22,22,0,0
83071,201770,ENGL,-,ENGH 302,S17,Adv Composition (Social Sci),3,Undergraduate - Upper Division,CL,22,22,0,0
78146,201770,ENGL,8A,ENGH 303,1,Humanities College to Career,1,Undergraduate - Upper Division,O,9,3,7,0
71932,201770,ENGL,-,ENGH 305,2,Dimensions Writing and Lit,3,Undergraduate - Upper Division,WL,27,27,0,1
71933,201770,ENGL,-,ENGH 305,3,Dimensions Writing and Lit,3,Undergraduate - Upper Division,O,27,20,0,0
78394,201770,ENGL,-,ENGH 305,5,Dimensions Writing and Lit,3,Undergraduate - Upper Division,WL,18,18,0,0
81822,201770,ENGL,BO,ENGH 307,3,English Grammar,3,Undergraduate - Upper Division,O,9,9,16,0
81823,201770,ENGL,BS,ENGH 307,4,English Grammar,3,Undergraduate - Upper Division,O,9,7,13,0
72323,201770,ENGL,-,ENGH 308,1,Theory and Inquiry,3,Undergraduate - Upper Division,WL,27,27,0,2
75531,201770,ENGL,-,ENGH 309,1,The Wilde Era,3,Undergraduate - Upper Division,WL,27,27,0,0
75532,201770,ENGL,-,ENGH 309,2,21st-Century Teen Fiction,3,Undergraduate - Upper Division,WL,23,23,0,0
78943,201770,ENGL,-,ENGH 315,2,Folklore and Folklife,3,Undergraduate - Upper Division,WL,27,27,0,0
81740,201770,ENGL,-,ENGH 315,3,Folklore and Folklife,3,Undergraduate - Upper Division,CL,27,27,0,0
81889,201770,ENGL,-,ENGH 315,4,Folklore and Folklife,3,Undergraduate - Upper Division,O,16,15,0,0
80958,201770,ENGL,-,ENGH 324,1,Engl Renaissance Drama,3,Undergraduate - Upper Division,WL,27,29,0,1
75534,201770,ENGL,-,ENGH 333,1,British Novel 18th Century,3,Undergraduate - Upper Division,WL,27,27,0,0
72664,201770,ENGL,-,ENGH 352,1,Arab-American Literature,3,Undergraduate - Upper Division,O,27,16,0,0
78393,201770,ENGL,-,ENGH 352,2,Native American Literature,3,Undergraduate - Upper Division,WL,27,27,0,0
80959,201770,ENGL,-,ENGH 356,1,Recent American Poetry,3,Undergraduate - Upper Division,WL,18,17,0,2
80960,201770,ENGL,-,ENGH 361,1,"Continental Fiction, 1880-1950",3,Undergraduate - Upper Division,O,27,26,0,0
81776,201770,ENGL,-,ENGH 362,3,"Migration, Space, Place",3,Undergraduate - Upper Division,CL,27,27,0,0
73709,201770,ENGL,-,ENGH 370,1,Introduction to Documentary,3,Undergraduate - Upper Division,O,27,20,0,0
80961,201770,ENGL,-,ENGH 371,1,Television Studies,3,Undergraduate - Upper Division,WL,27,27,0,0
75536,201770,ENGL,-,ENGH 372,1,Introduction to Film,3,Undergraduate - Upper Division,WL,32,31,0,5
73710,201770,ENGL,-,ENGH 373,1,Film and Video Forms,3,Undergraduate - Upper Division,O,27,25,0,0
75541,201770,ENGL,-,ENGH 377,1,Digital Creative Writng,3,Undergraduate - Upper Division,O,24,23,0,0
77974,201770,ENGL,-,ENGH 380,2,Introduction Writing/Rhetoric,3,Undergraduate - Upper Division,WL,27,27,0,2
72324,201770,ENGL,-,ENGH 382,1,Writing Nonfiction Genres,3,Undergraduate - Upper Division,O,22,13,0,0
80962,201770,ENGL,-,ENGH 386,1,"Editing for Audi, Style/Voice",3,Undergraduate - Upper Division,WL,27,27,0,0
71936,201770,ENGL,-,ENGH 388,1,Professional and Techn Writing,3,Undergraduate - Upper Division,WL,24,24,0,4
75542,201770,ENGL,-,ENGH 388,2,Professional and Techn Writing,3,Undergraduate - Upper Division,WL,24,24,0,5
73711,201770,ENGL,-,ENGH 391,1,Forms of Poetry,3,Undergraduate - Upper Division,O,22,15,0,0
74274,201770,ENGL,-,ENGH 392,2,Forms of Fiction,3,Undergraduate - Upper Division,O,22,21,0,0
78037,201770,ENGL,-,ENGH 393,1,Forms of Nonfiction,3,Undergraduate - Upper Division,O,15,14,0,0
